CORP_KEY|CORP_REP_KEY|BEN_OWN_KEY|DOCDUEDATE|DOCRECEIVEDDATE|DOCEXPIRYDATE|DOCDELFLG|DOCREMARKS|SCANNED|DOCCODE|DOCDESCR|REFERENCENUMBER|ISMANDATORY|SCANREQUIRED|ROLE|DOCTYPECODE|DOCTYPEDESCR|MINDOCSREQD|WAIVEDORDEFEREDDATE|COUNTRYOFISSUE|PLACEOFISSUE|DOCISSUEDATE|IDENTIFICATIONTYPE|CORE_CUST_ID|IS_DOCUMENT_VERIFIED|BANK_ID
C000000292|C000000292|||04-Dec-2009|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000296|C000000296|||17-Aug-2006|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 300723748||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000301|C000000301|||29-Mar-2005|30-12-2099||||COMREG||Id: 15358 PanNo: 500201776||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000306|C000000306|||01-Apr-2005|30-12-2099||||COMREG||Id: 75472/063/64 PanNo: 301903095||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000307|C000000307|||03-Dec-2009|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000310|C000000310|||06-Apr-2005|30-12-2099||||COMREG||Id: 27674/060/61 PanNo: 301877024||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000435|C000000435|||07-Apr-2005|30-12-2099||||COMREG||Id: 2613/061/062 PanNo: 301766366||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000436|C000000436|||11-Apr-2005|30-12-2099||||COMREG||Id: 2446/059/60 PanNo: 300905638||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000440|C000000440|||11-Apr-2005|30-12-2099||||COMREG||Id: 23063/059/060 PanNo: 301333157||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000443|C000000443|||20-May-2005|30-12-2099||||COMREG||Id: 64887/60/61 PanNo: 301610595||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000445|C000000445|||18-Apr-2005|30-12-2099||||COMREG||Id: 26180/060/61 PanNo: 301768166||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000447|C000000447|||20-Apr-2005|30-12-2099||||COMREG||Id: 68637/061/62 PanNo: 301802954||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000451|C000000451|||26-Apr-2005|30-12-2099||||COMREG||Id: 90729/068/069 PanNo: 600553496||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000454|C000000454|||28-Apr-2005|30-12-2099||||COMREG||Id: 151897/58/059 PanNo: 300020092||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000459|C000000459|||03-May-2005|30-12-2099||||COMREG||Id: 64630/060/61 PanNo: 0||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000464|C000000464|||12-May-2005|30-12-2099||||DEF_DOC_TYPE||Id: 301513887 PanNo: 301513887||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000465|C000000465|||05-May-2005|30-12-2099||||COMREG||Id: 966/062/63 PanNo: 300020243||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000470|C000000470|||09-May-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 301715445||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000473|C000000473|||10-May-2005|30-12-2099||||COMREG||Id: 23181/059/60 PanNo: 301795005||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000484|C000000484|||19-May-2005|30-12-2099||||COMREG||Id: 141/051/52 PanNo: 500054420||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000491|C000000491|||24-May-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 500056921||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000496|C000000496|||26-May-2005|30-12-2099||||DEF_DOC_TYPE||Id:  PanNo: 0||||DEF_DOC_TYPE||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000501|C000000501|||30-May-2005|30-12-2099||||COMREG||Id: 34195/061/62 PanNo: 301908836||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000508|C000000508|||05-Dec-2013|30-12-2099||||COMREG||Id: 147/051/52 PanNo: 500056561||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
C000000510|C000000510|||07-Dec-2005|30-12-2099||||COMREG||Id: 32591/06172 PanNo: 301875671||||COMPANY_REG_ID||||NEPAL|DEF_PLACE|01-JAN-1900||||01
